,brain ,brain opioid,brain alzheimer,brain fetal,brain frontal cortex,brain parietal cortex,brain occipital cortex,brain striatum,brain stem,brain cerebellum,esophagus,stomach,small intestine,duodenum,jejunum colon,ileum colon,colon,proximal colon,distal colon,liver,pancreas,kidney,bladder,breast,ovary,fallopian tube,uterus,cervix,placenta,prostate,testicle,heart,pericardium,right atrium heart,left atruim,right ventricle heart,left ventricle heart,vena cava,trachea,lung,thymus,spleen,lymph node,thyroid,adrenal,adipose,skeletal muscle,"melanoma (not included in min, max, median, mean)"
A1,18.772,46.068,26.297,3.815,21.246,23.055,15.171,18.731,2.623,1.408,0.015,0,0,0.024,0,0,0.019,0,0,0.209,0.021,0.306,0,0,0,0.746,0,0.01,0,0.021,0.188,0.024,0,0,0,0.004,0,0.183,0.023,0.093,0,0,0,0.095,0.527,0,0.593,0
A2,5.349,13.087,8.597,3.772,3.933,3.77,4.026,4.463,3.54,3.313,8.342,4.089,10.418,11.931,16.88,12.374,6.443,15.4,16.691,4.582,2.36,18.048,32.667,10.21,32.527,24.689,27.568,74.078,17.969,41.879,6.744,6.209,11.49,10.459,9.667,10.989,4.041,19.881,8.572,6.723,15.367,10.602,6.166,3.605,5.654,11.019,1.72,8.681
A3,13.94,17.566,22.546,18.653,10.922,11.15,11.779,14.953,9.781,7.823,8.967,4.814,11.073,14.502,8.849,10.174,13.2,22.408,9.946,46.827,9.767,14.97,9.548,7.679,17.141,39.799,13.297,19.698,11.465,21.961,14.952,13.047,8.282,20.504,16.235,18.523,8.429,13.182,5.214,6.572,6.677,1.742,0.711,40.155,6.496,6.844,14.805,43.142
B1,34.943,182.716,62.825,10.232,23.793,16.743,23.56,27.283,5.396,4.031,0.082,0.041,0.146,0.442,0.52,0.146,0.112,0.53,0.062,0.139,0.033,1.604,0.352,0.139,0.251,0.844,0.622,1.271,0.502,0.51,0.888,0.118,0.123,0,0.07,0.052,0,0.593,0.725,0.121,1.47,0.362,0.241,0.017,0.608,0.034,0,13.833
B2,88.639,336.85,79.932,54.881,72.508,63.69,67.818,91.276,16.901,10.829,0.24,0.121,1.379,1.131,1.091,2.216,4.788,0.479,1.14,0.066,0.009,1.586,0.945,0.434,1.538,0.817,0.474,2.072,0.855,1.183,2.708,1.58,0.322,1.97,2.213,2.06,0.968,1.636,0.531,0.167,27.023,0.338,0.194,0.329,1.39,0.765,0.106,1.77
B3,95.192,26.79,29.963,41.334,74.141,56.187,97.206,73.485,56.242,55.227,1.947,0.162,3.475,5.345,15.978,2.987,1.631,8.725,4.649,1.37,0.348,3.243,6.057,0.919,2.947,2.404,5.78,3.8,0.153,3.542,8.761,3.345,1.618,4.641,2.905,3.387,1.277,6.615,4.234,1.638,0.642,2.962,0.033,1.612,1.448,1.574,0.327,2.375
C1,0.407,0.344,0.395,5.494,0.342,0.094,0.121,0.521,0.11,0.002,4.75,3.71,0.495,1.723,1.428,0.414,0.642,1.324,0.403,3.081,0.243,39.459,5.374,3.433,0.627,24.049,1.064,7.007,0.451,7.017,2.961,2.296,0.964,1.048,1.807,1.91,0.955,2.093,16.622,18.808,4.678,5.223,2.997,2.581,0.412,0.286,0.046,5.967
C2,69.22,109.089,64.537,37.085,89.151,44.121,46.105,59.29,24.699,16.577,8.272,0.733,1.844,3.014,2.085,1.635,1.454,2.974,1.303,1.262,1.572,36.369,4.296,7.616,1.134,23.452,2.599,9.224,0.777,12.294,25.068,1.311,0.694,6.141,6.989,2.209,1.458,5.116,4.269,2.13,2.857,0.884,0.708,8.681,2.617,0.385,3.783,12.475
C3,15.001,16.956,9.155,37.189,11.678,8.29,10.516,11.055,12.635,7.066,0.352,0.868,0.921,0.825,1.006,0.586,0.695,0.907,0.815,0.391,0.514,1.193,0.571,0.416,0.484,0.632,0.459,0.948,0.511,0.848,6.074,0.321,0.332,0.416,0.366,0.523,0.277,1.013,0.715,0.539,0.689,0.774,0.404,0.504,0.973,0.286,0.348,3.243
D1,1.325,1.052,1.71,1.036,0.603,0.858,0.947,1.082,0.862,0.125,8.742,3.307,7.781,4.421,16.637,4.074,2.154,9.249,6.957,2.304,1.023,5.92,24.864,18.067,7.574,5.639,5.879,9.328,6.012,8.497,16.587,19.88,29.206,43.52,51.495,41.118,12.146,38.329,8.466,28.006,2.013,0.792,0.319,2.69,0.614,25.737,4.01,3.646
